GDAY_DS,T_ID,HEADER_NO,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,TB_SC,WLS
20200728,NC,0,26.0,11.0,11.0,46.0,36.0,14.0,3.0,0.0,2.0,8.0,1.0,0.0,6.0,168.0,9.950000000000001,T,L
20200728,OB,0,27.0,6.0,5.0,43.0,34.0,8.0,2.0,0.0,1.0,5.0,1.0,2.0,6.0,166.0,7.15,B,L
20200728,SK,0,27.0,24.0,24.0,58.0,49.0,23.0,3.0,1.0,6.0,7.0,1.0,2.0,6.0,221.0,11.68,B,L
20200728,WO,0,27.0,2.0,2.0,38.0,36.0,9.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,130.0,6.1000000000000005,T,W
20200729,HH,0,27.0,7.0,7.0,44.0,34.0,9.0,1.0,0.0,2.0,8.0,0.0,2.0,7.0,195.0,8.94,T,W
20200729,LG,0,27.0,6.0,6.0,44.0,40.0,14.0,1.0,0.0,4.0,3.0,0.0,1.0,5.0,146.0,8.93,T,W
20200729,SK,0,27.0,11.0,11.0,45.0,36.0,13.0,0.0,0.0,3.0,8.0,0.0,1.0,7.0,179.0,8.3,B,L
20200729,SS,0,27.0,12.0,5.0,49.0,44.0,18.0,1.0,0.0,1.0,3.0,0.0,1.0,7.0,181.0,8.89,B,L
20200730,HH,0,32.0,2.0,1.0,46.0,36.0,6.0,2.0,0.0,0.0,7.0,1.0,1.0,12.0,196.0,12.51,T,L
20200730,HT,0,24.0,4.0,4.0,34.0,28.0,11.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,128.0,4.57,B,L
20200730,KT,0,27.0,1.0,1.0,36.0,33.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,8.0,136.0,3.25,T,W
20200730,LG,0,27.0,1.0,1.0,34.0,30.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,8.0,138.0,4.52,T,W
20200730,OB,0,27.0,8.0,8.0,39.0,34.0,13.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,139.0,8.66,B,L
20200730,SK,0,27.0,9.0,9.0,45.0,39.0,13.0,3.0,0.0,1.0,5.0,0.0,1.0,6.0,187.0,9.83,B,L
20200730,SS,0,33.0,1.0,0.0,43.0,37.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,12.0,181.0,6.68,B,W
20200730,WO,0,27.0,5.0,5.0,41.0,36.0,10.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,141.0,7.1499999999999995,T,W
20200731,HH,0,27.0,1.0,1.0,31.0,29.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,136.0,2.5700000000000003,T,W
20200731,HT,0,27.0,2.0,1.0,36.0,33.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,130.0,2.16,T,W
20200731,KT,0,27.0,1.0,1.0,36.0,31.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,148.0,7.24,B,W
