T_ID,GDAY_DS,HEADER_NO,NAME,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,MONEY,AGE_VA
LG,20200805,0,진해수,11.0,2.0,2.0,18.0,16.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,74.0,10.27,175000.0,238
LG,20200805,0,최동환,14.0,2.0,2.0,18.0,16.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,73.0,9.87,49000.0,217
LG,20200806,0,송은범,6.0,1.0,1.0,9.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,4.28,54000.0,72
LG,20200806,0,여건욱,5.0,5.0,5.0,10.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,39.0,2.86,14000.0,68
LG,20200806,0,임찬규,47.0,6.0,6.0,66.0,54.0,12.0,6.0,0.0,2.0,11.0,0.0,1.0,11.0,292.0,3.8400000000000003,40500.0,84
LG,20200806,0,정용운,5.0,3.0,3.0,9.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,36.0,4.15,15000.0,90
LG,20200807,0,고우석,16.0,3.0,3.0,23.0,21.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,92.0,11.969999999999999,110000.0,110
LG,20200807,0,정우영,27.0,1.0,1.0,31.0,28.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,107.0,6.09,48000.0,126
LG,20200807,0,진해수,12.0,2.0,2.0,20.0,18.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,81.0,11.77,200000.0,272
LG,20200807,0,켈리,57.0,8.0,8.0,80.0,72.0,19.0,5.0,0.0,1.0,4.0,0.0,1.0,12.0,296.0,4.07,270000.0,93
LG,20200808,0,김윤식,36.0,10.0,10.0,53.0,46.0,12.0,1.0,0.0,2.0,6.0,0.0,1.0,8.0,213.0,4.83,8100.0,60
LG,20200808,0,송은범,9.0,1.0,1.0,13.0,11.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,6.380000000000001,81000.0,108
LG,20200808,0,이정용,22.0,4.0,4.0,31.0,28.0,7.0,1.0,0.0,2.0,2.0,0.0,1.0,8.0,107.0,7.620000000000001,18900.0,161
LG,20200808,0,최동환,17.0,2.0,2.0,21.0,19.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,80.0,11.18,56000.0,248
LG,20200808,0,최성훈,9.0,4.0,4.0,16.0,14.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,56.0,8.43,32900.0,217
LG,20200809,0,윌슨,69.0,9.0,6.0,102.0,86.0,20.0,3.0,0.0,0.0,12.0,0.0,1.0,23.0,403.0,5.52,440000.0,124
LG,20200809,0,정우영,33.0,1.0,1.0,37.0,34.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,131.0,7.02,56000.0,147
LG,20200811,0,송은범,12.0,1.0,1.0,16.0,14.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,65.0,8.38,108000.0,144
LG,20200811,0,정찬헌,33.0,7.0,7.0,54.0,46.0,15.0,2.0,0.0,3.0,7.0,0.0,1.0,5.0,197.0,2.58,26000.0,60
LG,20200811,0,최동환,17.0,6.0,6.0,25.0,22.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,96.0,12.62,63000.0,279
LG,20200811,0,최성훈,15.0,6.0,6.0,25.0,21.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,98.0,9.79,37600.0,248
LG,20200812,0,송은범,15.0,1.0,1.0,19.0,17.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,77.0,10.290000000000001,135000.0,180
LG,20200812,0,이정용,25.0,4.0,4.0,35.0,31.0,7.0,1.0,0.0,2.0,3.0,0.0,1.0,10.0,125.0,8.82,21600.0,184
LG,20200812,0,임찬규,62.0,6.0,6.0,85.0,69.0,12.0,6.0,0.0,2.0,15.0,0.0,1.0,20.0,388.0,5.12,54000.0,112
LG,20200812,0,정우영,37.0,1.0,1.0,42.0,39.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,152.0,7.949999999999999,64000.0,168
LG,20200812,0,진해수,14.0,2.0,2.0,24.0,21.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,100.0,13.27,225000.0,306
LG,20200813,0,고우석,20.0,3.0,3.0,27.0,25.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,8.0,112.0,13.809999999999999,132000.0,132
LG,20200813,0,정우영,39.0,1.0,1.0,45.0,42.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,162.0,8.879999999999999,72000.0,189
LG,20200813,0,켈리,78.0,10.0,9.0,106.0,97.0,23.0,6.0,0.0,2.0,5.0,0.0,1.0,17.0,390.0,5.36,360000.0,124
LG,20200814,0,김윤식,49.0,14.0,14.0,76.0,66.0,18.0,4.0,0.0,2.0,8.0,0.0,2.0,13.0,295.0,6.46,10800.0,80
LG,20200814,0,송은범,20.0,1.0,1.0,25.0,23.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,100.0,12.110000000000001,162000.0,216
