GDAY_DS,T_ID,HEADER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,PA,TB_SC
20200726,NC,0,9.0,32.0,4.0,7.0,1.0,0.0,2.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,34.0,T
20200726,OB,0,9.0,32.0,3.0,8.0,2.0,0.0,1.0,13.0,3.0,0.0,0.0,6.0,1.0,1.0,5.0,1.0,1.0,0.0,40.0,B
20200726,SK,0,9.0,35.0,7.0,10.0,2.0,0.0,0.0,12.0,7.0,1.0,0.0,5.0,2.0,0.0,5.0,1.0,0.0,0.0,42.0,T
20200726,SS,0,9.0,36.0,5.0,12.0,4.0,0.0,1.0,19.0,5.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,1.0,43.0,T
20200726,WO,0,9.0,35.0,8.0,13.0,4.0,0.0,0.0,17.0,8.0,0.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,40.0,B
20200727,HH,0,9.0,29.0,5.0,5.0,3.0,0.0,0.0,8.0,5.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,35.0,B
20200727,SK,0,9.0,32.0,5.0,10.0,3.0,0.0,1.0,16.0,5.0,1.0,0.0,3.0,1.0,0.0,5.0,3.0,1.0,0.0,37.0,T
20200728,LG,0,9.0,49.0,24.0,23.0,3.0,1.0,6.0,46.0,23.0,0.0,0.0,7.0,2.0,1.0,6.0,1.0,0.0,0.0,58.0,T
20200728,LT,0,9.0,36.0,11.0,14.0,3.0,0.0,2.0,23.0,11.0,0.0,0.0,8.0,0.0,1.0,6.0,1.0,1.0,1.0,46.0,B
20200728,NC,0,9.0,42.0,9.0,17.0,3.0,0.0,2.0,26.0,8.0,2.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,46.0,T
